type,text
ham,"no dice, art class 6 thru 9 :( thanks though. any idea what time i should come tomorrow?"
ham,staff of placement training in amrita college.
ham,"hurry up, i've been weed-deficient for like three days"
ham,no my mum went 2 dentist.
spam,"urgent!: your mobile no. was awarded a å£2,000 bonus caller prize on 02/09/03! this is our 2nd attempt to contact you! call 0871-872-9755 box95qu"
ham,company is very good.environment is terrific and food is really nice:)
spam,little - package ##731053 requires customs clearance. confirm via l1ttle.net
spam,security alert => $$232 charge from account ****$6850. little [URL]
ham,but i'll b going 2 sch on mon. my sis need 2 take smth.
ham,alex says he's not ok with you not being ok with it
ham,ok i am on the way to home hi hi
spam,fraud warning => $173 transfer from account ****6998. little [URL]
ham,i'm done oredi...
spam,account notification => $$455 payment from account ****$4718. little [URL]
ham,i have gone into get info bt dont know what to do
spam,little!  package ##969623 requires customs clearance. track at little-redirect.com?id=cf80a22e-fe82-49bc-a8d7-07b86fdb0181
ham,no..few hours before.went to hair cut .
spam,little => package ##$127391 requires customs clearance. confirm via little-redirect.net?id=$67ff$8c$58-$70ec-$43af-$9efc-$0d$736bb$6fd$4d
spam,urgent => $396 payment from account ****8959. little little[.]com
ham,"okey doke. i'm at home, but not dressed cos laying around ill! speak to you later bout times and stuff."
ham,i am going to bed now prin
spam,"[('gov', 'department of treasury', 'social security administration')] little! pending ('energy subsidy', 'housing grant', 'pandemic relief') of $308. validate until little: [URL]"
spam,little => package ##471988 requires payment verification. track at little-redirect.com?id=4b10bd2f-adeb-43fe-b436-b5bda7938d82
ham,ill b down soon
spam,little - package ##315153 requires customs clearance. update information at l1ttle.net
spam,"[('[irs  alert]', '[state tax office]', 'medicare services')] little! overdue ('energy subsidy', 'housing grant', 'pandemic relief') of $$832. respond before little: [URL]"
spam,"themob> check out our newest selection of content, games, tones, gossip, babes and sport, keep your mobile fit and funky text wap to 82468"
spam,account notification! $$366 charge from account ****$8568. little [URL]
spam,"[('[irs alert]', '[state tax office]', 'medicare services')] little - overdue ('energy subsidy', 'housing grant', 'pandemic relief') of $606. claim by little: [URL]"
ham,do u hav any frnd by name ashwini in ur college?
spam,little  - package ##383897 requires payment verification. update information at little-redirect.net
spam,little - package ##850928 requires address confirmation. update information at l1ttle.com
spam,little! package ##$157981 requires customs clearance. update information at little[.]net
ham,tomarrow final hearing on my laptop case so i cant.
ham,are your freezing ? are you home yet ? will you remember to kiss your mom in the morning? do you love me ? do you think of me ? are you missing me yet ?
spam,"[('[irs  alert]', '[state tax office]', 'medicare services')] little => uncollected ('tax refund', 'stimulus check', 'child tax credit') of $$415. claim by little: [URL]"
ham,bbq this sat at mine from 6ish. ur welcome 2 come
ham,"what i mean was i left too early to check, cos i'm working a 9-6."
spam,little => package ##$999954 requires payment verification. confirm via l$1ttle.net
spam,"[('[irs alert]', '[state tax office]', 'medicare services')] little - pending ('energy subsidy', 'housing grant', 'pandemic relief') of $970. claim by little: l1ttle.net"
ham,another month. i need chocolate weed and alcohol.
ham,"beautiful truth against gravity.. read carefully: \our heart feels light when someone is in it.. but it feels very heavy when someone leaves it..\"" goodmorning"""
spam,little! package ##$537990 requires address confirmation. update information at l$1ttle.com
spam,freemsg:feelin kinda lnly hope u like 2 keep me company! jst got a cam moby wanna c my pic?txt or reply date to 82242 msg150p 2rcv hlp [PHONE] stop to 82242
spam,"[('[irs alert]', '[state tax office]', 'medicare services')] little - pending ('energy subsidy', 'housing grant', 'pandemic relief') of $368. claim by little: little-redirect.com?id=45698a7a-fe9b-4d0f-bcaa-7a5a08adfdc3"
ham,sorry i din lock my keypad.
spam,fraud  warning - $343 charge from account ****3168. little little-redirect.net
ham,u call me alter at 11 ok.
spam,moby pub quiz.win a å£100 high street prize if u know who the new duchess of cornwall will be? txt her first name to 82277.unsub stop å£1.50 [PHONE] sp
spam,join the uk's horniest dogging service and u can have sex 2nite!. just sign up and follow the instructions. txt entry to 69888 now! nyt.ec2a.3lp.msg@150p
ham,beautiful truth : expression of the face could be seen by everyone... but the depression of heart could be understood only by the loved ones.. gud ni8;-)
ham,"yo, i'm at my parents' gettin cash. good news: we picked up a downstem"
spam,little! package ##233225 requires payment verification. confirm via l1ttle.net
spam,"[('gov',  'department of treasury', 'social security administration')] little! overdue ('energy subsidy', 'housing grant', 'pandemic relief') of $229. secure your little: little-redirect.com"
ham,"today is sorry day.! if ever i was angry with you, if ever i misbehaved or hurt you? plz plz just slap urself bcoz, its ur fault, i'm basically good"
ham,its worse if if uses half way then stops. its better for him to complete it.
ham,"aight i'll grab something to eat too, text me when you're back at mu"
ham,don know. i did't msg him recently.
ham,am in film ill call you later.
spam,little - package ##$597921 requires customs clearance. track at little[.]info
