"type","text"
"ham","go until jurong point, crazy.. available only in bugis n great world la e buffet... cine there got amore wat..."
"ham","ok lar... joking wif u oni..."
"ham","u dun say so early hor... u c already then say..."
"ham","nah i don't think he goes to usf, he lives around here though"
"spam","freemsg hey there darling it's been 3 week's now and no word back! i'd like some fun you up for it still? tb ok! xxx std chgs to send, å£1.50 to rcv"
"ham","even my brother is not like to speak with me. they treat me like aids patent."
"ham","i'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? i've cried enough today."
"ham","i've been searching for the right words to thank you for this breather. i promise i wont take your help for granted and will fulfil my promise. you have been wonderful and a blessing at all times."
"ham","i have a date on sunday with will!!"
"spam","xxxmobilemovieclub: to use your credit, click the wap link in the next txt message or click here>> [URL] xxxmobilemovieclub.com?n=qjkgighjjgcbl"
"ham","oh k...i'm watching here:)"
"ham","eh u remember how 2 spell his name... yes i did. he v naughty make until i v wet."
"ham","fine if thatåõs the way u feel. thatåõs the way its gota b"
"spam","england v macedonia - dont miss the goals/team news. txt ur national team to 87077 eg england to 87077 try:wales, scotland 4txt/ì¼1.20 poboxox36504w45wq 16+"
"ham","is that seriously how you spell his name?"
"ham","i‰û÷m going to try for 2 months ha ha only joking"
"ham","so ì_ pay first lar... then when is da stock comin..."
"ham","aft i finish my lunch then i go str down lor. ard 3 smth lor. u finish ur lunch already?"
"ham","ffffffffff. alright no way i can meet up with you sooner?"
"ham","just forced myself to eat a slice. i'm really not hungry tho. this sucks. mark is getting worried. he knows i'm sick when i turn down pizza. lol"
"ham","lol your always so convincing."
"ham","did you catch the bus ? are you frying an egg ? did you make a tea? are you eating your mom's left over dinner ? do you feel my love ?"
"ham","i'm back &amp; we're packing the car now, i'll let you know if there's room"
"ham","ahhh. work. i vaguely remember that! what does it feel like? lol"
"ham","wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
"ham","yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. till 2! but we won't go there! not doing too badly cheers. you?"
"ham","k tell me anything about you."
"ham","for fear of fainting with the of all that housework you just did? quick have a cuppa"
"spam","thanks for your subscription to ringtone uk your mobile will be charged å£5/month please confirm by replying yes or no. if you reply no you will not be charged"
"ham","yup... ok i go home look at the timings then i msg ì_ again... xuhui going to learn on 2nd may too but her lesson is at 8am"
"ham","oops, i'll let you know when my roommate's done"
"ham","i see the letter b on my car"
"ham","anything lor... u decide..."
"ham","hello! how's you and how did saturday go? i was just texting to see if you'd decided to do anything tomo. not that i'm trying to invite myself or anything!"
"ham","pls go ahead with watts. i just wanted to be sure. do have a great weekend. abiola"
"ham","did i forget to tell you ? i want you , i need you, i crave you ... but most of all ... i love you my sweet arabian steed ... mmmmmm ... yummy"
"spam","[PHONE] - rodger burns - msg = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder. please call now [PHONE] for delivery tomorrow"
"ham","who are you seeing?"
"ham","great! i hope you like your man well endowed. i am  &lt;#&gt;  inches..."
"ham","didn't you get hep b immunisation in nigeria."
"ham","fair enough, anything going on?"
"ham","yeah hopefully, if tyler can't do it i could maybe ask around a bit"
"ham","u don't know how stubborn i am. i didn't even want to go to the hospital. i kept telling mark i'm not a weak sucker. hospitals are for weak suckers."
"ham","what you thinked about me. first time you saw me in class."
"ham","a gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
"ham","k fyi x has a ride early tomorrow morning but he's crashing at our place tonight"
"ham","wow. i never realized that you were so embarassed by your accomodations. i thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". i'm sorry i didn't and don't have more to give. i'm sorry i offered. i'm sorry your room was so embarassing."""
"spam","sms. ac sptv: the new jersey devils and the detroit red wings play ice hockey. correct or incorrect? end? reply end sptv"
"ham","do you know what mallika sherawat did yesterday? find out now @  &lt;url&gt;"
"ham","tell where you reached"
"ham","yes..gauti and sehwag out of odi series."
"ham","your gonna have to pick up a $1 burger for yourself on your way home. i can't even move. pain is killing me."
"ham","ha ha ha good joke. girls are situation seekers."
"ham","sorry my roommates took forever, it ok if i come by now?"
"ham","ok lar i double check wif da hair dresser already he said wun cut v short. he said will cut until i look nice."
"spam","did you hear about the new \divorce barbie\""? it comes with all of ken's stuff!"""
"ham","i plane to give on this month end."
"ham","wah lucky man... then can save money... hee..."
"ham","finished class where are you."
"ham","hi babe im at home now wanna do something? xx"
"ham","k..k:)where are you?how did you performed?"
"ham","u can call me now..."
"ham","i am waiting machan. call me once you free."
"ham","thats cool. i am a gentleman and will treat you with dignity and respect."
"ham","i like you peoples very much:) but am very shy pa."
"ham","does not operate after  &lt;#&gt;  or what"
"ham","its not the same here. still looking for a job. how much do ta's earn there."
"ham","k. did you call me just now ah?"
"ham","ok i am on the way to home hi hi"
"ham","yup next stop."
"ham","for real when u getting on yo? i only need 2 more tickets and one more jacket and i'm done. i already used all my multis."
"ham","yes i started to send requests to make it but pain came back so i'm back in bed. double coins at the factory too. i gotta cash in all my nitros."
"ham","i'm really not up to it still tonight babe"
"ham","ela kano.,il download, come wen ur free.."
"ham","yeah do! don‰û÷t stand to close tho- you‰û÷ll catch something!"
"ham","sorry to be a pain. is it ok if we meet another night? i spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. sorry."
"ham","havent planning to buy later. i check already lido only got 530 show in e afternoon. u finish work already?"
"ham","watching telugu movie..wat abt u?"
"ham","i see. when we finish we have loads of loans to pay"
"ham","hi. wk been ok - on hols now! yes on for a bit of a run. forgot that i have hairdressers appointment at four so need to get home n shower beforehand. does that cause prob for u?\""
ham"""
"ham","please don't text me anymore. i have nothing else to say."
"ham","okay name ur price as long as its legal! wen can i pick them up? y u ave x ams xx"
"ham","i'm still looking for a car to buy. and have not gone 4the driving test yet."
"ham","wow. you're right! i didn't mean to do that. i guess once i gave up on boston men and changed my search location to nyc, something changed. cuz on my signin page it still says boston."
"ham","umma my life and vava umma love you lot dear"
"ham","thanks a lot for your wishes on my birthday. thanks you for making my birthday truly memorable."
"ham","aight, i'll hit you up when i get some cash"
"ham","how would my ip address test that considering my computer isn't a minecraft server"
"ham","i know! grumpy old people. my mom was like you better not be lying. then again i am always the one to play jokes..."
"ham","dont worry. i guess he's busy."
"ham","what is the plural of the noun research?"
"ham","going for dinner.msg you after."
"ham","i'm ok wif it cos i like 2 try new things. but i scared u dun like mah. cos u said not too loud."
"ham","wa, ur openin sentence very formal... anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...haha... so anythin special happened?"
"spam","you are a winner u have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim [PHONE]p/min (18+)"
"ham","goodo! yes we must speak friday - egg-potato ratio for tortilla needed!"
"ham","hmm...my uncle just informed me that he's paying the school directly. so pls buy food."
"spam","urgent! your mobile no. was awarded å£2000 bonus caller prize on 5/9/03 this is our final try to contact u! call from landline [PHONE] box42wr29c, 150ppm"
"ham","here is my new address -apples&pairs&all that malarky"
"spam","todays voda numbers ending 7548 are selected to receive a $350 award. if you have a match please call [PHONE] quoting claim code 4041 standard rates app"
"ham","i am going to sao mu today. will be done only at 12"
"ham","ìï predict wat time ì_'ll finish buying?"
"ham","good stuff, will do."
"ham","just so that you know,yetunde hasn't sent money yet. i just sent her a text not to bother sending. so its over, you dont have to involve yourself in anything. i shouldn't have imposed anything on you in the first place so for that, i apologise."
"ham","are you there in room."
"ham","hey girl. how r u? hope u r well me an del r bak! again long time no c! give me a call sum time from lucyxx"
"ham","k..k:)how much does it cost?"
"ham","dear, will call tmorrow.pls accomodate."
"ham","first answer my question."
"spam","want 2 get laid tonight? want real dogging locations sent direct 2 ur mob? join the uk's largest dogging network bt txting gravel to 69888! nt. ec2a. 31p.msg@150p"
"ham","i only haf msn. it's [EMAIL]"
"ham","he is there. you call and meet him"
"spam","you'll not rcv any more msgs from the chat svc. for free hardcore services text go to: 69988 if u get nothing u must age verify with yr network & try again"
"ham","got c... i lazy to type... i forgot ì_ in lect... i saw a pouch but like not v nice..."
"ham","k, text me when you're on the way"
"ham","sir, waiting for your mail."
"ham","a swt thought: \nver get tired of doing little things 4 lovable persons..\"" coz..somtimes those little things occupy d biggest part in their hearts.. gud ni8"""
"ham","i know you are. can you pls open the back?"
"ham","yes see ya not on the dot"
"ham","whats the staff name who is taking class for us?"
"spam","freemsg why haven't you replied to my text? i'm randy, sexy, female and live local. luv to hear from u. netcollex ltd [PHONE]p per msg reply stop to end"
"ham","ummma.will call after check in.our life will begin from qatar so pls pray very hard."
"ham","k..i deleted my contact that why?"
"ham","sindu got job in birla soft .."
"ham","the wine is flowing and i'm i have nevering.."
"ham","yup i thk cine is better cos no need 2 go down 2 plaza mah."
"ham","ok... ur typical reply..."
"ham","as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune"
"ham","you are everywhere dirt, on the floor, the windows, even on my shirt. and sometimes when i open my mouth, you are all that comes flowing out. i dream of my world without you, then half my chores are out too. a time of joy for me, lots of tv shows i.ll see. but i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
"ham","aaooooright are you at work?"
"ham","i'm leaving my house now..."
"ham","hello, my love. what are you doing? did you get to that interview today? are you you happy? are you being a good boy? do you think of me?are you missing me ?"
"spam","customer service annoncement. you have a new years delivery waiting for you. please call [PHONE] now to arrange delivery"
