label,text
spam,security  alert   payment from account  little url
ham,are you wet right now
spam,gov  department of treasury social security administration little  pending energy subsidy housing grant pandemic relief of  secure your little littleredirectcomidfefcefaebdedaa
ham,teach me apps da when you come to college
ham,no objection my bf not coming
ham,quite late lar ard  anyway i wun b drivin
ham,once a fishrman woke early in d mrng it was very dark he waited a while amp found a sack ful of stones he strtd throwin thm in d sea  pass time atlast he had jus stone sun rose up amp he found out tht those r nt stones those were diamonds moraldont wake up early in d mrng good night
ham,ic there are a lotta childporn cars then
ham,will have two more cartons off u and is very pleased with shelves
ham,no its truekdo u knw dis no ltgt
spam,urgent we are trying to contact u todays draw shows that you have won a ãâ prize guaranteed call phone from land line claim c validhrs only
spam,get a brand new mobile phone by being an agent of the mob plus loads more goodies for more info just text mat to
ham,nvm take ur time
spam,urgent call phone from landline your complementary  tenerife holiday or ãâ cash await collection sae tcs po box  wa px ppm  sender hol offer
spam,irs alert state tax office medicare services little  overdue tax refund stimulus check child tax credit of  secure your little littleredirectnet
spam,account  notification   payment from account  little url
spam,little  package  requires address confirmation update information at lttlecom
ham,u come n search tat vidnot finishd
ham,babe you said  hours and its been almost   is your internet down
ham,uncle boye i need movies oh guide me plus you know torrents are not particularly legal here and the system is slowing down what should i do have a gr day plus have you started cos i dont meet you online how was the honey moon
ham,good evening sir al salam wahleykkumsharing a happy newsby the grace of god i got an offer from tayseertissco and i joinedhope you are fineinshah allahmeet you sometimerakheshvisitor from india
spam,fraud warning  charge from account  little url
spam,fraud  warning  transfer from account  little lttlecom
spam,security  alert  withdrawal from account  little lttlenet
spam,do you want a new nokia i colour phone delivered tomorrow with  free minutes to any mobile   free text  free camcorder reply or call phone
ham,symptoms when u are in love u like listening songs u get stopped where u see the name of your beloved u wont get angry when your
ham,am going to take bath ill place the key in window
ham,yup leaving right now be back soon
spam,fraud  warning  transfer from account  little littleredirectnet
spam,gov department of treasury social security administration little  pending energy subsidy housing grant pandemic relief of  validate until little littleredirectnetidedcdaadbcc
ham,fuuuuck i need to stop sleepin sup
ham,dearregret i cudnt pick calldrove down frm ctla now at cochin homeleft mobile in carente style ishtamayoohappy bakrid
spam,security alert  charge from account  little lttlenet
spam,fraud warning   charge from account  little url
spam,gov  department of treasury social security administration little  approved tax refund stimulus check child tax credit of  secure your little lttlecom
spam,little  package  requires payment verification confirm via littleredirectnetidcfaeaacaaeeea
spam,little package  requires address confirmation update information at lttlenet
ham,no i am not having not any movies in my laptop
spam,account notification  charge from account  little littleredirectnetidcebaccbfddafdf
ham,i dunno until when lets go learn pilates
spam,irs alert state tax office medicare services little  overdue energy subsidy housing grant pandemic relief of  secure your little littleredirectcomidcfdfecca
ham,you still at grand prix
ham,yes watching footie but worried were going to blow it  phil neville
spam,account notification  transfer from account  little lttlecom
ham,if you hear a loud scream in about ltgt minutes its cause my gyno will be shoving things up me that dont belong
spam,gov department of treasury social security administration little uncollected tax refund stimulus check child tax credit of  secure your little url
spam,account notification   payment from account  little url
spam,irs alert state tax office medicare services little  overdue tax refund stimulus check child tax credit of  claim by little lttlecom
spam,fraud warning  withdrawal from account  little lttlecom
ham,your daily text from me âãã² a favour this time
ham,haha just what i was thinkin
spam,irs alert state tax office medicare services little overdue energy subsidy housing grant pandemic relief of  validate until little lttlenet
